	X	PlayerID	Player.Name	Season	PT2M_0	PT2M_1	PT2M_2	PT2M_3	PT2M_4	PT2M_5	PT2M_6	PT2M_7	PT2M_8	PT2M_9	PT2M_10	PT2M_11	PT2M_12	PT2M_13	PT2M_14	PT2M_15	PT2M_16	PT2M_17	PT2M_18	PT2M_19	PT2M_20	PT2M_21	PT2M_22	PT2M_23	PT2M_24	PT2A_0	PT2A_1	PT2A_2	PT2A_3	PT2A_4	PT2A_5	PT2A_6	PT2A_7	PT2A_8	PT2A_9	PT2A_10	PT2A_11	PT2A_12	PT2A_13	PT2A_14	PT2A_15	PT2A_16	PT2A_17	PT2A_18	PT2A_19	PT2A_20	PT2A_21	PT2A_22	PT2A_23	PT2A_24	PT3M_22	PT3M_23	PT3M_24	PT3M_25	PT3M_26	PT3M_27	PT3M_28	PT3M_29	PT3M_30	PT3M_31	PT3M_32	PT3M_33	PT3M_34	PT3M_35	PT3M_36	PT3M_37	PT3M_38	PT3A_22	PT3A_23	PT3A_24	PT3A_25	PT3A_26	PT3A_27	PT3A_28	PT3A_29	PT3A_30	PT3A_31	PT3A_32	PT3A_33	PT3A_34	PT3A_35	PT3A_36	PT3A_37	PT3A_38
797	A	203473	Dewayne Dedmon	2014-15	0	6	14	11	8	1	4	3	0	3	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	11	21	14	17	2	8	5	2	6	3	0	0	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
798	A	203474	DJ Stephens	2013-14	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
799	A	203475	Erick Green	2014-15	0	0	2	3	0	0	0	4	1	0	0	0	1	0	0	1	1	0	1	4	2	2	2	0	1	0	0	3	5	0	0	1	4	1	0	0	0	1	0	3	1	3	3	3	10	5	5	5	0	1	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	2	9	2	0	1	0	0	0	0	0	0	0	0	0	0	0
800	A	203476	Gorgui Dieng	2013-14	3	18	27	16	6	6	4	2	2	3	4	4	2	0	3	3	3	2	3	1	0	0	0	0	0	4	30	46	25	18	10	10	10	12	4	9	6	5	2	7	5	6	5	4	4	2	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
801	A	203476	Gorgui Dieng	2014-15	8	26	33	18	21	5	5	6	5	3	6	0	3	7	15	4	8	7	2	2	2	0	0	0	0	10	41	54	34	35	15	17	16	14	14	9	7	6	10	28	4	15	17	15	5	6	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0
802	A	203477	Isaiah Canaan	2013-14	0	1	3	3	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	3	7	4	6	1	2	1	0	1	0	0	0	0	1	0	0	0	0	0	3	0	3	0	0	1	4	4	8	0	0	0	0	0	0	0	0	0	0	0	0	0	7	8	8	22	6	1	0	1	0	0	0	0	0	0	0	0	0
803	A	203477	Isaiah Canaan	2014-15	1	1	3	2	2	5	0	0	1	0	0	0	1	0	0	0	1	0	0	2	1	0	0	0	0	2	1	6	4	6	7	2	1	4	0	0	0	3	0	1	1	1	0	0	4	2	0	1	0	1	3	5	10	11	7	2	1	0	0	0	0	0	0	0	0	0	0	11	10	22	28	17	6	1	0	0	1	0	0	0	0	0	0	0
804	A	203479	Jamaal Franklin	2013-14	0	1	2	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	1	3	1	2	1	4	1	0	1	0	0	0	1	1	0	0	1	2	1	4	1	1	1	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0
805	A	203480	James Southerland	2013-14	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	3	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
806	A	203481	Jeff Withey	2013-14	0	8	12	10	12	4	9	4	0	1	1	2	0	0	2	0	3	0	1	0	0	0	0	0	0	1	14	20	22	16	11	16	7	3	4	4	2	0	0	2	1	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
