	teamAbb	PTM2_1ft	PTM2_3ft	PTM2_5ft	PTM2_7ft	PTM2_9ft	PTM2_11ft	PTM2_13ft	PTM2_15ft	PTM2_17ft	PTM2_19ft	PTM2_21ft	PTM2_23ft	PTM3_23ft	PTM3_25ft	PTM3_27ft	PTA2_1ft	PTA2_3ft	PTA2_5ft	PTA2_7ft	PTA2_9ft	PTA2_11ft	PTA2_13ft	PTA2_15ft	PTA2_17ft	PTA2_19ft	PTA2_21ft	PTA2_23ft	PTA3_23ft	PTA3_25ft	PTA3_27ft	PTD2_1ft	PTD2_3ft	PTD2_5ft	PTD2_7ft	PTD2_9ft	PTD2_11ft	PTD2_13ft	PTD2_15ft	PTD2_17ft	PTD2_19ft	PTD2_21ft	PTD2_23ft	PTD3_23ft	PTD3_25ft	PTD3_27ft	PTT2_1ft	PTT2_3ft	PTT2_5ft	PTT2_7ft	PTT2_9ft	PTT2_11ft	PTT2_13ft	PTT2_15ft	PTT2_17ft	PTT2_19ft	PTT2_21ft	PTT2_23ft	PTT3_23ft	PTT3_25ft	PTT3_27ft
CHA_2013-14_Playoffs_Off	CHA_2013-14_Playoffs_Off	8	23	22	9	6	6	3	12	5	4	4	1	9	17	4	19	40	38	26	12	17	6	16	13	15	8	4	27	42	8	48.599999999999994	103.4	97.9	73.80000000000001	33.4	52.199999999999996	23.4	66.7	68.10000000000001	63.50000000000001	46.900000000000006	24.799999999999997	149.9	218.5	52.4	254.5	482.8999999999999	353.29999999999995	288.6	155.89999999999998	186.20000000000002	64.0	205.0	169.2	159.89999999999998	78.00000000000001	26.2	301.1	471.3	65.4
CHA_2013-14_Playoffs_Def	CHA_2013-14_Playoffs_Def	16	26	20	10	4	2	4	3	10	4	2	0	14	19	2	20	40	31	20	10	7	8	10	17	22	12	4	27	37	5	57.0	118.70000000000002	98.10000000000001	52.69999999999999	28.2	17.2	30.6	40.1	85.30000000000001	104.90000000000002	77.0	18.2	173.6	226.10000000000002	20.0	177.2	492.59999999999997	328.79999999999995	199.0	112.1	73.0	78.3	87.10000000000001	159.3	206.2	93.9	21.1	289.8	389.20000000000005	14.500000000000002
CHA_2014-15_Regular_Off	CHA_2014-15_Regular_Off	183	317	296	176	133	82	76	119	149	193	141	31	114	195	42	283	556	544	426	341	228	201	276	388	453	338	90	297	660	127	668.8	1290.9	1250.0	1012.7	933.1999999999999	715.6	755.0999999999999	1161.7999999999997	1737.5999999999997	2237.5	1872.8000000000002	503.3	1815.7000000000003	3860.899999999999	700.3	3036.0000000000005	6420.3	6465.5	4643.000000000002	3568.2000000000007	2256.4	2027.8999999999999	2873.5	4376.1	5083.400000000001	3702.9999999999995	956.5999999999998	3354.8999999999996	7630.499999999999	1345.7000000000003
CHA_2014-15_Regular_Def	CHA_2014-15_Regular_Def	211	388	266	177	115	72	65	85	142	181	105	31	162	261	32	309	608	559	419	296	204	165	217	318	428	283	99	441	753	95	794.9999999999999	1636.7999999999997	1315.8000000000004	1002.2999999999994	806.6000000000004	651.3999999999999	641.9000000000001	926.3999999999997	1559.9999999999998	2219.8000000000006	1446.0000000000002	445.1000000000001	2631.9999999999977	4596.900000000001	503.89999999999986	3351.3000000000006	7275.799999999999	6887.3	4759.800000000002	3034.4999999999995	2126.3000000000006	1646.2999999999997	2376.2999999999997	3575.1	4786.399999999997	3151.3	917.8000000000001	5238.700000000002	9159.099999999999	1066.5
CHA_2014-15_Playoffs_Off	CHA_2014-15_Playoffs_Off	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHA_2014-15_Playoffs_Def	CHA_2014-15_Playoffs_Def	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHI_2013-14_Regular_Off	CHI_2013-14_Regular_Off	281	532	347	170	95	66	69	117	195	220	160	25	193	249	21	459	887	713	465	266	168	195	277	517	514	397	88	498	716	82	1138.5999999999997	2422.1	1773.1000000000006	1180.6999999999996	794.5999999999999	540.4999999999999	757.8999999999999	1265.6	2702.4000000000005	2703.8000000000006	2076.1	462.8	3029.4999999999995	4350.299999999999	452.70000000000005	3713.5	8960.6	7259.000000000002	4111.599999999999	2246.7	1482.1	1558.0000000000005	2514.3	4687.9000000000015	4823.5	3725.5999999999995	822.4999999999999	5183.0	7529.699999999999	719.0
CHI_2013-14_Regular_Def	CHI_2013-14_Regular_Def	242	474	310	161	130	100	92	110	152	225	109	32	145	290	27	394	768	610	396	349	244	228	286	429	540	330	108	374	789	105	1030.2999999999997	2197.8999999999996	1501.5000000000002	1033.4000000000005	1052.1000000000001	812.5999999999999	861.1000000000001	1269.3999999999996	1971.1000000000006	2763.6000000000004	1679.1000000000004	623.2	2345.2000000000003	4915.400000000002	610.8999999999999	3874.4000000000024	8452.200000000003	6791.800000000004	4078.099999999999	3596.5999999999995	2374.4999999999986	2171.3000000000006	2681.2999999999997	4248.799999999999	5348.8	3094.8000000000015	947.6000000000001	3981.200000000001	8865.399999999996	985.6
CHI_2013-14_Playoffs_Off	CHI_2013-14_Playoffs_Off	17	31	19	13	4	1	2	7	10	19	8	2	16	14	1	36	50	36	30	13	12	6	17	30	33	27	6	47	43	3	76.8	116.80000000000001	74.10000000000001	76.6	43.699999999999996	36.5	22.5	84.0	160.4	165.00000000000003	138.89999999999998	22.2	251.60000000000002	229.0	14.9	369.1	446.8	396.1	329.8	109.5	92.6	49.49999999999999	141.1	293.0	355.5	245.59999999999997	50.699999999999996	505.1	509.3999999999999	23.6
CHI_2013-14_Playoffs_Def	CHI_2013-14_Playoffs_Def	16	32	21	10	6	5	3	5	20	13	9	3	12	18	0	25	50	41	25	17	15	11	17	44	45	20	5	27	43	4	76.10000000000001	187.4	102.29999999999998	52.60000000000001	47.19999999999999	58.900000000000006	30.9	78.4	256.7	256.5	100.1	28.0	198.9	252.19999999999996	27.7	291.79999999999995	661.7	441.2999999999999	246.6	177.60000000000002	155.3	121.69999999999999	180.8	522.5	427.5	207.4	30.5	344.0	586.7	62.5
CHI_2014-15_Regular_Off	CHI_2014-15_Regular_Off	276	457	311	168	102	78	61	75	99	144	122	12	170	262	57	434	771	651	403	273	195	170	178	246	360	302	54	449	727	170	946.2	1935.0000000000002	1584.0	1008.7000000000002	738.8000000000001	603.2999999999998	633.7	809.4	1261.0000000000005	2017.8000000000002	1620.8	268.59999999999997	2779.7999999999993	4201.0	932.8	4476.299999999999	8294.2	7408.4	4117.2	2660.1999999999994	1958.8000000000004	1709.2	1825.1000000000004	2607.9999999999995	3805.2000000000003	3053.7000000000003	440.8	5188.799999999999	8573.099999999999	1960.6999999999998
